file_id	file_name	aliquot_barcode
73f16b07-863a-474f-8caf-18bab99e9da9	8917e05e-9f69-4f31-b927-ec930e4059ed_gdc_realn_rehead.bam	TCGA-G5-6572-02A-12R-1830-07
e6cd2ec4-4abf-4ce1-8396-73681714b7fe	a4848806-a25e-4918-9f1d-5b61b0dbfeb6_gdc_realn_rehead.bam	TCGA-AF-5654-01A-01R-1660-07
01004ae4-1aa1-40af-ad79-3a1c1ca8a527	268e2ee4-0169-4454-a576-ff0632601535_gdc_realn_rehead.bam	TCGA-DC-4749-01A-01R-1736-07
870133a4-4fec-4735-926a-f35c337b6b8a	8e1aff6e-5df1-47d2-ae17-d4cb5b944d14_gdc_realn_rehead.bam	TCGA-AG-3605-01A-01R-0826-07
d7413273-71d0-4173-a8f1-b9312d4b383a	2e12a83d-7346-4e1c-86aa-ac5c2393b9fa_gdc_realn_rehead.bam	TCGA-AH-6643-11A-01R-1830-07
ad23ca07-f4e4-4633-baef-b8452aaf4c78	d6c1fe8d-7109-4a8b-977b-054897ae7768_gdc_realn_rehead.bam	TCGA-AG-3885-01A-01R-0905-07
95e91400-a892-47b5-a0f0-c7bf0159348c	02fb1f7a-1db4-4a74-927f-4354b74fc803_gdc_realn_rehead.bam	TCGA-AF-2693-01A-02R-1736-07
61d20592-f798-4714-ae9a-fa40b968bf18	391f9299-0d3f-40b4-a4cf-4947755a9ab3_gdc_realn_rehead.bam	TCGA-EI-6881-01A-11R-A32Z-07
e9734650-f108-4ba4-8b03-27cdcc48e92a	16a6c406-7942-45a5-b1db-b4d1ba3b6212_gdc_realn_rehead.bam	TCGA-AG-4015-01A-01R-1119-07
17a29d2b-3dc0-4f77-b86a-8a1b4b567ab1	dddb09dd-90c3-40c6-aa96-a9891d31ca23_gdc_realn_rehead.bam	TCGA-CI-6624-01C-11R-1830-07
e3241322-978d-4a95-872a-5ce967b2aba6	b6bc54af-770e-460b-bd54-f1691843c429_gdc_realn_rehead.bam	TCGA-F5-6464-01A-11R-1736-07
fae5496f-0833-4974-843f-88f5e86d831b	e64d7ccc-9742-466c-8e87-487ecfdf2ff8_gdc_realn_rehead.bam	TCGA-AG-3599-01A-02R-0826-07
